Name,Short_Name,Price
unity bashmathi cutting10kg,யுனுடி பாஸ்மதி ரைஸ்10kg,810.0
saika bashmathi rice25kg,சைகா பாஸ்மதி ரைஸ்25kg,35.0
krushnaa CR rice,கிருஷ்ணா இட்லி அரிசி சிப்பம்,750.0
nanthi brown(M)5kg,நந்தி பிரவுன்(M)5kg,200.0
nandhi brown(M)10kg,நந்தி பிரவுன்(M)10kg,450.0
lakshmi gold blue,லஷ்மிகோல்ட்,10.0
thulasi gold pazhasu(30)kg,துளசி கோல்டு பழசு(30)kg,2499.0
lalidha kurunai,லலிதா குருனை,900.0
manjal thool,மஞ்சள்தூள்,380.0
water box 300ml,300mlவாட்டர்box,170.0
500ml waterbox,500ml வாட்டர்box,150.0
waterbox500ml,500mlவாட்டர்box,150.0
waterbox1ltr,1ltrவாட்டர்box,160.0
cd Rs10 localbrand 200ml,10Rsகூல்டிரிங்ஸ் 1k,300.0
cd bovonto1.5ltr,1.5-ltrபவண்டோ 1k,850.0
cd bovonto500ml,பவண்டோ500ml 1k,800.0
cd 7up2.250ltr,2.25ltr7அப் 1k,900.0
cd silce1.250ltr,ஸ்லைஸ்1.25ltr 1k,780.0
cd 7up750ml,750ml 7அப் 1k,912.0
cd 7up1.25ltr,1.25ltr 7அப் 1k,584.0
cd 250ml 7up box,cd 250 7அப் box,700.0
cd 250ml pepsi 1k,250ml பெப்ஸி1k,600.0
cd 250ml 7up kase,cd 250ml 7up kase,600.0
cd slice10Rs tin box,cd slice10Rs tin box,400.0
cd slice600ml kase,cd slice600ml kase,960.0
cd cavinsmilkshake Rs30 1 box,Cd கவின்ஸ் மில்க்ஷேக்Rs30 box1,900.0
cd vibro500ml,cd விப்ரோ500ml,800.0
chikkan masala50gm,50gm சில்லி சிக்கென்,34.5
chikkan masala50g,50g சிக்கன் மசலா சக்தி,28.0
meen kuzhampu masala 50g,50g மீன் குழம்பு மசாலா சக்தி,28.0
meen varuval masala 50g,50g மீன் வருவல் மசாலா சக்தி,33.0
karam மசாலா50g,50g கரம் மசாலா சக்தி,38.0
cd 250ml 7up tinbox,cd 250ml 7up tinbox,700.0
kari masala50g,50g கறிமசாலா,31.0
milagai thool 50g,50gமிளகாய்தூள்,27.5
malli thool 5og,50g மல்லித்தூள்,18.0
sannnaa masala 50g,50g சன்னா மசாலா சக்தி,30.0
kuzhampu மி.தூள்50g,50g ஆச்சி குழம்பு மிளாகாய் தூள்,22.0
anil atta pai,500g அணில் ஆட்டா pkt,30.0
asirvad atta1/2 pai,1/2kg ஆசிர்வட் ஆட்டா pkt ,37.0
asirvad atta 1kg pai,1kg ஆசிர்வட் ஆட்டா pkt,73.0
semiyaa pai,அணில்சேமியா பை,360.0
colgatesalt Rs10,Rs10 கோல்கட்சால்ட் ,10.0
colgate sald Rs20,Rs20கோல்கேட் சால்ட்,20.0
colgatesalt 100g,100g கோல்கேட்சால்ட்,66.0
colgate 100g Rs.54,Rs.54 கோல்கேட்100g,54.0
dabur red paste Rs10,Rs10 டாபர்ரெட் பேஸ்ட்,10.0
dabur red paste Rs20,Rs20 டாபர்ரெட் பேஸ்ட்,20.0
dabur red paste 200g,200g டாபர்ரெட் பேஸ்ட்,153.0
dabur red paste 100g,100g  டாபர்ரெட் பேஸ்ட்,70.0
close up paste10Rs,Rs.10 closeup paste,10.0
surf excel soup.10Rs,Rs.10சர்ப் சோப்,10.0
surf excel soap Rs20,Rs20 சர்ப் சோப்,20.0
surf excel soup Rs10 box,Rs10சர்ப்சோப் பாக்ஸ்,1400.0
surf excel soup Rs20,Rs20 சர்ப் சோப்,20.0
surf excel soapRs32,Rs32 சர்ப் சோப்,32.0
surf excel powder Rs.10,Rs.10 சர்ப் எக்சல் பவுடர்,10.0
Rin soap Rs.10,Rs.10 ரின் சோப்பு,10.0
surf LIQ FL 500ml Rs.115,Rs.115surf LIQ FL 500ml,130.0
Rin soap Rs.10 box,Rs.10ரின் சோப்பு box,720.0
Rin powder 500g,500g ரின் பவுடர்,58.0
Rin soap Rs.19,RS.19 ரின் சோப் ,19.0
Rin soap Rs.19 box,Rs.19ரின் சோப்பு box,1140.0
Rin powder Rs.5,Rs.5 ரின் பவுடர்,5.0
Rin powder 1kg,1kg ரின் பவுடர்,116.0
Rin powder Rs.10,Rs.10 ரின் பவுடர்,10.0
vim lemon liqid Rs20,Rs20 vim lemon liqid,20.0
vim bar Rs.10,Rs.10 விம் பார்,10.0
EXO round 250g box Rs.30,Rs.30 EXO round 250g box ,30.0
EXO 500g round box rs.52,Rs.52EXO 500g round box ,52.0
vim bar Rs.5,Rs.5 விம் பார்,5.0
vim bar Rs.5 box,Rs.5 vim bar box,945.0
thu.paruppu 1kg udhayam,1kg து.பருப்பு உதயம்,143.0
oil goldwinner1/2 ltr box ,1/2 ltr கோ.விbox ,2100.0
hamam soap Rs.10,Rs.10 ஹமாம் சோப்,10.0
lifebuoy soap Rs.10,Rs.10 லைபாய் சோப்,10.0
semiyaa bag 100g,100g சேமியா பை,1900.0
manjal thool 50g,50g மஞ்சள்தூள் Rakal,20.0
pottukadalai 1kg, பொட்டுக்கடலை,110.0
pottukadala.,பொ.கடலை,100.0
sakkarai sippam,சக்கரை சிபபம்,2000.0
semiyaa 140g pkt,140g சேமியா pkt,15.0
nei Rs10.saram(25pcs),Rs10.உ.நெய் சரம்(25pcs),250.0
nei udhayakishna 50.jar,50.jar உதய.கி.நெய்,43.0
nei udhayakiru 100jar,100mlஉதயகிருஷ்ணா நெய்,80.0
oil vilakennai 50ml,50mlவி.எண்ணெய்,20.0
oil vilakkennai 500ml,(500)ml முயல்வி.எண்ணெய்,120.0
milagu 1kg,1kg மிளகு,700.0
soampu,சோம்பு,300.0
thuvaramparuppu,துவரம்பருப்பு,150.0
varupattani,வருபட்டாணி,150.0
wishper Rs.32,Rs.32 விஸ்பர்,32.0
whisper extralarge(36),Rs.36.விஸ்பர்,36.0
wishper Rs.42,Rs.42 விஸ்பர்,42.0
stayfree dry.Rs30,Rs.30stayfree,30.0
pampers Rs.20 small,Rs.20.pampers(s),20.0
whisper Rs.42,Rs.42 விஸ்பர்,42.0
pampers Rs.24(m),Rs.24(m)pampers,24.0
horlicks Rs.5,Rs.5 ஹார்லிக்ஸ்,5.0
horlicks Rs.5 saram,Rs.5 ஹார்லிக்ஸ் சரம்,75.0
boost Rs.5,Rs.5 பூஸ்ட்,5.0
