MN_ID,MaterialName,ShortName,MNDate,MNMDate,MN_Status,LastEditDate,ExpDays,ShortCode,ProductCode,LID,Margin,SetZero,GSTID,GSTValue,GSTIDTemp,GSTValueTemp,RECENTCOSTPRICE,RECENTSALESPRICE,DiscountStatus,MRP
1,nandhi 3d,நந்தி 3D,2022-03-05 22:35:00,2022-03-05 22:35:00,A,2024-02-15 11:34:32.093,NULL,,01,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
2,unity bashmathi cutting10kg,யுனுடி பாஸ்மதி ரைஸ்10kg,2022-03-05 22:43:00,2022-03-05 22:43:00,A,2022-10-18 14:39:53.257,NULL,,02,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,810.00
3,saika bashmathi rice25kg,சைகா பாஸ்மதி ரைஸ்25kg,2022-03-05 22:51:00,2022-03-05 22:51:00,A,2025-12-30 17:16:29.950,NULL,,03,0,0.00,0,0,0.00,0,0.00,22.31,32.00,1,35.00
4,krushnaa CR rice,கிருஷ்ணா இட்லி அரிசி சிப்பம்,2022-03-05 22:55:00,2022-03-05 22:55:00,A,2022-07-07 19:28:58.787,NULL,,04,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,750.00
5,nanthi brown(M)5kg,நந்தி பிரவுன்(M)5kg,2022-03-05 22:59:00,2022-03-05 22:59:00,A,2022-03-08 18:03:33.547,NULL,,05,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,200.00
6,nandhi brown(M)10kg,நந்தி பிரவுன்(M)10kg,2022-03-05 23:06:00,2022-03-05 23:06:00,A,2022-09-25 18:04:02.730,NULL,,06,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,450.00
7,lakshmi gold blue,லஷ்மிகோல்ட்,2022-03-05 23:13:00,2022-03-05 23:13:00,A,2024-05-28 21:42:24.347,NULL,,07,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,10.00
8,thulasi gold pazhasu(30)kg,துளசி கோல்டு பழசு(30)kg,2022-03-05 23:20:00,2022-03-05 23:20:00,A,2022-08-14 14:13:52.980,NULL,,08,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,2499.00
9,lalidha kurunai,லலிதா குருனை,2022-03-05 23:26:00,2022-03-05 23:26:00,A,2022-05-03 10:05:23.860,NULL,,09,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,900.00
10,clinic plus shampoo 1Rs,clinic plus shampoo 1Rs,2022-03-06 14:17:00,2022-03-06 14:17:00,A,2022-03-06 14:17:22.027,0.00,None,10,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,0.00
11,manjal thool,மஞ்சள்தூள்,2022-03-06 15:26:00,2022-03-06 15:26:00,A,2022-08-28 12:25:00.130,NULL,,11,0,0.00,0,0,0.00,0,0.00,0.00,0.00,1,380.00
